一	i1 
一一	i1  i1 
一些	i1  x i1 e1 
一件	i1  j i4 a4 nn4 
一份	i1  f ern4 
一個	i1  g er0 
一副	i1  f u4 
一包	i1  b a1 u1 
一口	i1  k o3 u3 
一口氣	i1  k o3 u3  q i4 
一只	i1  zh ii1 
一台	i1  t a2 i2 
一名	i1  m i2 ng2 
一向	i2  x i4 a4 ng4 
一大	i1  d a4 
一大包	i1  d a4  b a1 u1 
一大早	i1  d a4  z a3 u3 
一大盤	i1  d a4  p a2 nn2 
一大筆	i1  d a4  b i3 
一大缸	i1  d a4  g a1 ng1 
一天	i1  t i1 a1 nn1 
一幅	i1  f u2 
一座	i1  z u4 o4 
一張	i1  zh a1 ng1 
一支	i1  zh ii1 
一星期	i1  x i1 ng1  q i2 
一本	i1  b ern3 
一束	i1  sh u4 
一束花	i1  sh u4  h u1 a1 
一杯	i1  b e1 i1 
一枝	i1  zh ii1 
一條	i1  t i2 a2 u2 
一盒	i1  h er2 
一節	i1  j i2 e2 
一群	i1  q yu2 nn2 
一致	i2  zh ii4 
一要	i1  i4 a4 u4 
一起	i4  q i3 
一間	i1  j i1 a1 nn1 
一隻	i1  zh ii1 
七	q i1 
七月	q i1  yu4 e4 
七針	q i1  zh ern1 
三	s a1 nn1 
三個	s a1 nn1  g er0 
三十	s a1 nn1  sh ii2 
三十元	s a1 nn1  sh ii2  yu2 a2 nn2 
三名	s a1 nn1  m i2 ng2 
三百	s a1 nn1  b a3 i3 
三百元	s a1 nn1  b a3 i3  yu2 a2 nn2 
三碗	s a1 nn1  u3 a3 nn3 
三萬	s a1 nn1  u4 a4 nn4 
三萬塊	s a1 nn1  u4 a4 nn4  k u4 a4 i4 
上	sh a4 ng4 
上個	sh a4 ng4  g er0 
上個月	sh a4 ng4  g er0  yu4 e4 
上午	sh a4 ng4  u3 
上床	sh a4 ng4  ch u2 a2 ng2 
上樓	sh a4 ng4  l o2 u2 
上漲	sh a4 ng4  zh a3 ng3 
上爬	sh a4 ng4  p a2 
上班	sh a4 ng4  b a1 nn1 
上經	sh a4 ng4  j i1 ng1 
上街	sh a4 ng4  j i1 e1 
上衣	sh a4 ng4  i1 
上長	sh a4 ng4  zh a3 ng3 
下	x i4 a4 
下一節	x i4 a4  i1  j i2 e2 
下下星期	x i4 a4  x i4 a4  x i1 ng1  q i2 
下午	x i4 a4  u3 
下山	x i4 a4  sh a1 nn1 
下雨	x i4 a4  yu3 
不	b u4 
不便宜	b u4  b i4 a4 nn4  i2 
不准	b u4  zh u3 nn3 
不化	b u4  h u4 a4 
不接	b u4  j i1 e1 
不為	b u4  u4 e4 i4 
不用	b u4  i4 o4 ng4 
不許	b u4  x yu3 
中	zh u1 ng1 
中國	zh u1 ng1  g u2 o2 
中外	zh u1 ng1  u4 a4 i4 
中外聞名	zh u1 ng1  u4 a4 i4  u2 nn2  m i2 ng2 
中學	zh u1 ng1  x yu2 e2 
中秋	zh u1 ng1  q i1 o1 u1 
中秋節	zh u1 ng1  q i1 o1 u1  j i2 e2 
中藥	zh u1 ng1  i4 a4 u4 
主任	zh u3  rh ern4 
主持	zh u3  ch ii2 
久	j i3 o3 u3 
九點	j i3 o3 u3  d i3 a3 nn3 
也	i3 e3 
了	l er0 
了關	l er0  g u1 a1 nn1 
事故	sh ii4  g u4 
五	u3 
五五	u3  u3 
五天	u3  t i1 a1 nn1 
五萬	u3  u4 a4 nn4 
五萬元	u3  u4 a4 nn4  yu2 a2 nn2 
五萬塊	u3  u4 a4 nn4  k u4 a4 i4 
五香	u3  x i1 a1 ng1 
些	x i1 e1 
交給	j i1 a1 u1  g e3 i3 
交通	j i1 a1 u1  t u1 ng1 
交通事故	j i1 a1 u1  t u1 ng1  sh ii4  g u4 
交通警察	j i1 a1 u1  t u1 ng1  j i3 ng3  ch a2 
人	rh ern2 
人人	rh ern2  rh ern2 
人名	rh ern2  m i2 ng2 
人得	rh ern2  d er2 
人愛吃	rh ern2  a4 i4  ch ii1 
人放風箏	rh ern2  f a4 ng4  f ng1  zh ng1 
人群	rh ern2  q yu2 nn2 
人衛生	rh ern2  u4 e4 i4  sh ng1 
什麼	sh ern2  m er0 
今天	j i1 nn1  t i1 a1 nn1 
今天下午	j i1 nn1  t i1 a1 nn1  x i4 a4  u3 
今年	j i1 nn1  n i2 a2 nn2 
今年夏天	j i1 nn1  n i2 a2 nn2  x i4 a4  t i1 a1 nn1 
