# gunzip -c exp_learning/inside/DELTA_tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_test_learning 
# Started at Sat Feb 22 08:51:35 CST 2020
#
At utterance begin, SIL accounts for 92.8% of phone occurrences, with duration (median, mean, 95-percentile) is (42,46.3,98) frames.
At utterance begin, nonsilence accounts for 7.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.5,32) frames.
At utterance begin, t_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,21) frames.
At utterance begin, u3_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.4,42) frames.
At utterance begin, zh_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,18) frames.
At utterance end, SIL accounts for 93.4% of phone occurrences, with duration (median, mean, 95-percentile) is (46,77.3,253) frames.
At utterance end, nonsilence accounts for 6.6% of phone occurrences, with duration (median, mean, 95-percentile) is (26,28.7,52) frames.
At utterance end, er0_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (28,29.2,50) frames.
At utterance end, i4_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.4,34) frames.
Overall, nonsilence accounts for 84.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.7,42) frames.
Overall, SIL accounts for 15.1% of phone occurrences, with duration (median, mean, 95-percentile) is (41,57.4,188) frames.
Overall, a4_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.7,40) frames.
Overall, a1_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.1,42) frames.
Overall, i1_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.6,39) frames.
Overall, i4_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.8,39) frames.
Overall, a3_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.1,38) frames.
Overall, d_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.3,24) frames.
Overall, er0_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (26,25.7,46) frames.
Overall, u1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,14.6,43) frames.
Overall, i3_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.6,41) frames.
Overall, u4_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,14.8,45) frames.
Overall, t_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,22) frames.
Overall, a1_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (29,28.8,56) frames.
Overall, a2_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.9,35) frames.
Overall, i4_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.0,44) frames.
Overall, u3_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.5,42) frames.
Overall, j_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.4,29) frames.
Overall, i2_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.2,41) frames.
Overall, l_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.6,27) frames.
Overall, u4_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (16,20.8,51) frames.
Overall, nn1_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.2,33) frames.
Overall, h_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.6,40) frames.
Overall, b_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.8,25) frames.
Overall, zh_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.0,26) frames.
Overall, sh_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.9,33) frames.
Overall, x_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.1,32) frames.
Overall, sh_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.7,36) frames.
Overall, m_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.7,33) frames.
Overall, j_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,13.5,30) frames.
Overall, d_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,24) frames.
Overall, o3_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.6,43) frames.
Overall, ng1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.5,49) frames.
Overall, u3_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,19.7,54) frames.
Overall, g_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.3,31) frames.
Overall, x_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.7,32) frames.
Overall, nn1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.8,32) frames.
Overall, u3_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.1,45) frames.
Overall, t_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,21) frames.
Overall, u2_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.4,46) frames.
Overall, m_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.0,30) frames.
Overall, nn4_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.0,32) frames.
Overall, ng4_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.2,36) frames.
Overall, i3_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (19,22.7,53) frames.
Overall, z_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.5,23) frames.
Overall, e4_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.9,33) frames.
Overall, g_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.4,25) frames.
Overall, ng1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,19.2,43) frames.
Overall, b_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.8,26) frames.
Overall, h_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.9,33) frames.
Overall, ng2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.3,47) frames.
Overall, nn2_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.8,31) frames.
Overall, ch_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.0,28) frames.
Overall, yu2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.2,46) frames.
Overall, l_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,23) frames.
Overall, u1_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,19.2,49) frames.
Overall, i1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.5,63) frames.
Overall, ch_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.1,29) frames.
Overall, a4_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (27,26.9,48) frames.
Overall, o3_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,22.1,52) frames.
The optional-silence phone SIL occupies 38.0% of frames overall 
