# gunzip -c exp_learning/inside/DELTA_tri1_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_test_learning 
# Started at Sat Feb 22 09:42:40 CST 2020
#
At utterance begin, SIL accounts for 92.9% of phone occurrences, with duration (median, mean, 95-percentile) is (42,46.3,98) frames.
At utterance begin, nonsilence accounts for 7.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.1,33) frames.
At utterance begin, t_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.6,22) frames.
At utterance begin, u3_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,19.2,44) frames.
At utterance begin, zh_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,19) frames.
At utterance end, SIL accounts for 93.4% of phone occurrences, with duration (median, mean, 95-percentile) is (46,77.1,253) frames.
At utterance end, nonsilence accounts for 6.6% of phone occurrences, with duration (median, mean, 95-percentile) is (26,28.9,52) frames.
At utterance end, er0_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (28,29.6,50) frames.
At utterance end, i4_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.8,32) frames.
Overall, nonsilence accounts for 84.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.7,42) frames.
Overall, SIL accounts for 15.1% of phone occurrences, with duration (median, mean, 95-percentile) is (41,57.3,188) frames.
Overall, a4_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.5,40) frames.
Overall, a1_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.1,42) frames.
Overall, i1_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.6,38) frames.
Overall, i4_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.9,38) frames.
Overall, a3_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.1,38) frames.
Overall, d_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.3,24) frames.
Overall, er0_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (26,25.7,46) frames.
Overall, u1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.6,43) frames.
Overall, i3_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.7,41) frames.
