# gunzip -c exp_learning/inside/LDA_tri3_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_test_learning 
# Started at Sat Feb 22 14:01:26 CST 2020
#
At utterance begin, SIL accounts for 91.6% of phone occurrences, with duration (median, mean, 95-percentile) is (40,44.2,95) frames.
At utterance begin, nonsilence accounts for 8.4% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.8,41) frames.
At utterance begin, t_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (27,26.1,40) frames.
At utterance begin, u3_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (29,28.6,46) frames.
At utterance begin, zh_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.3,29) frames.
At utterance begin, x_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (21,24.4,48) frames.
At utterance end, SIL accounts for 92.7% of phone occurrences, with duration (median, mean, 95-percentile) is (43,73.8,249) frames.
At utterance end, nonsilence accounts for 7.3% of phone occurrences, with duration (median, mean, 95-percentile) is (26,29.2,53) frames.
At utterance end, er0_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (28,31.1,54) frames.
At utterance end, i4_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.5,36) frames.
Overall, nonsilence accounts for 85.3% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.2,42) frames.
Overall, SIL accounts for 14.7% of phone occurrences, with duration (median, mean, 95-percentile) is (39,54.7,185) frames.
Overall, a4_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.1,37) frames.
Overall, a1_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.5,40) frames.
Overall, i1_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.9,34) frames.
Overall, i4_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.7,36) frames.
Overall, a3_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.4,36) frames.
Overall, d_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.4,25) frames.
Overall, er0_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (26,26.0,47) frames.
Overall, u1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.7,40) frames.
Overall, i3_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.2,39) frames.
Overall, t_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.2,32) frames.
Overall, u4_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.5,41) frames.
Overall, a1_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (27,27.3,55) frames.
Overall, a2_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.7,33) frames.
Overall, i4_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.7,45) frames.
Overall, u3_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.2,41) frames.
Overall, j_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.3,30) frames.
