# gunzip -c exp_learning/inside/SAT_tri4/decode_SAT/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_learning/inside/SAT_tri4/graph 
# Started at Sat Feb 22 22:15:19 CST 2020
#
At utterance begin, SIL accounts for 89.5% of phone occurrences, with duration (median, mean, 95-percentile) is (40,43.5,91) frames.
At utterance begin, nonsilence accounts for 10.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.7,39) frames.
At utterance begin, t_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (26,24.5,38) frames.
At utterance begin, u3_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (24,25.5,42) frames.
At utterance begin, zh_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (20,19.5,29) frames.
At utterance begin, x_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,25.0,46) frames.
At utterance end, SIL accounts for 91.5% of phone occurrences, with duration (median, mean, 95-percentile) is (42,69.3,242) frames.
At utterance end, nonsilence accounts for 8.5% of phone occurrences, with duration (median, mean, 95-percentile) is (23,26.9,50) frames.
At utterance end, er0_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (27,30.8,56) frames.
At utterance end, i4_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.4,22) frames.
At utterance end, u4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.6,38) frames.
Overall, nonsilence accounts for 85.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.9,41) frames.
Overall, SIL accounts for 14.1% of phone occurrences, with duration (median, mean, 95-percentile) is (38,51.9,176) frames.
Overall, a4_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.3,37) frames.
Overall, a1_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.7,38) frames.
Overall, i1_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.9,33) frames.
Overall, i4_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.9,35) frames.
Overall, a3_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.2,32) frames.
Overall, d_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.7,25) frames.
Overall, er0_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (25,24.7,44) frames.
Overall, u1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.5,38) frames.
Overall, i3_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.9,38) frames.
Overall, t_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.6,33) frames.
Overall, u4_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,13.8,37) frames.
Overall, a1_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (25,25.6,52) frames.
Overall, a2_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.2,31) frames.
Overall, i4_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.5,43) frames.
Overall, j_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.2,29) frames.
Overall, u3_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.6,40) frames.
Overall, l_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.7,29) frames.
