# gunzip -c exp_learning/inside/SAT_tri4_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_test_learning 
# Started at Sat Feb 22 23:23:25 CST 2020
#
At utterance begin, SIL accounts for 91.3% of phone occurrences, with duration (median, mean, 95-percentile) is (39,43.4,93) frames.
At utterance begin, nonsilence accounts for 8.7% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.6,42) frames.
At utterance begin, t_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (28,26.9,40) frames.
At utterance begin, u3_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (30,29.1,47) frames.
At utterance begin, zh_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (19,17.9,31) frames.
At utterance begin, x_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (24,26.7,51) frames.
At utterance end, SIL accounts for 92.6% of phone occurrences, with duration (median, mean, 95-percentile) is (42,71.7,247) frames.
At utterance end, nonsilence accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (27,30.4,55) frames.
At utterance end, er0_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (29,32.1,57) frames.
At utterance end, i4_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.8,37) frames.
Overall, nonsilence accounts for 85.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.5,43) frames.
Overall, SIL accounts for 14.6% of phone occurrences, with duration (median, mean, 95-percentile) is (38,53.5,184) frames.
Overall, a4_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.6,36) frames.
Overall, a1_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.4,39) frames.
Overall, i1_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.8,33) frames.
Overall, i4_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.0,37) frames.
Overall, a3_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.5,34) frames.
Overall, d_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.0,26) frames.
Overall, er0_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (27,26.7,47) frames.
Overall, u1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.1,40) frames.
Overall, i3_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.6,39) frames.
Overall, t_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.0,33) frames.
Overall, u4_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.8,40) frames.
Overall, a1_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (27,27.5,55) frames.
Overall, a2_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.8,33) frames.
Overall, i4_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.8,46) frames.
Overall, u3_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.8,41) frames.
Overall, j_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.4,30) frames.
Overall, i2_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.9,38) frames.
Overall, l_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.5,29) frames.
Overall, u4_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (21,24.0,50) frames.
Overall, nn1_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.9,35) frames.
Overall, h_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.8,42) frames.
Overall, b_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.2,30) frames.
Overall, zh_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.7,31) frames.
Overall, sh_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.6,37) frames.
