Wang_Mhint_S2_190919_S2_Wang_1 這 學 期 學 校 有 書 法 暗
Wang_Mhint_S2_190919_S2_Wang_10 秘 書 在 幫 老 闆 寫 文 件
Wang_Mhint_S2_190919_S2_Wang_100 為 什 麼 不 接 聽 我 的 電 話
Wang_Mhint_S2_190919_S2_Wang_101 我 下 午 約 好 朋 友 踢 足 球
Wang_Mhint_S2_190919_S2_Wang_102 他 幾 乎 每 個 月 都 要 出 差
Wang_Mhint_S2_190919_S2_Wang_103 他 最 近 好 像 掉 了 魂 似 的
Wang_Mhint_S2_190919_S2_Wang_104 我 今 晚 要 去 奶 奶 家 吃 飯
Wang_Mhint_S2_190919_S2_Wang_105 爸 爸 明 天 送 外 婆 回 老 家
Wang_Mhint_S2_190919_S2_Wang_106 退 潮 時 他 撿 到 很 多 貝 殼
Wang_Mhint_S2_190919_S2_Wang_107 工 地 上 有 很 多 建 築 工 人
Wang_Mhint_S2_190919_S2_Wang_108 他 今 天 去 醫 院 探 望 同 事
Wang_Mhint_S2_190919_S2_Wang_109 我 們 特 別 想 去 參 觀 故 宮
Wang_Mhint_S2_190919_S2_Wang_11 我 今 年 初 一 向 爸 爸 拜 年
Wang_Mhint_S2_190919_S2_Wang_110 他 幾 天 前 配 了 一 副 眼 鏡
Wang_Mhint_S2_190919_S2_Wang_111 記 者 整 夜 工 作 趕 截 稿 日
Wang_Mhint_S2_190919_S2_Wang_112 昨 天 晚 上 聚 會 他 喝 醉 了
Wang_Mhint_S2_190919_S2_Wang_113 請 叫 他 們 經 理 來 接 電 話
Wang_Mhint_S2_190919_S2_Wang_114 這 個 城 市 有 很 多 旅 遊 點
Wang_Mhint_S2_190919_S2_Wang_115 這 個 行 業 很 容 易 找 工 作
Wang_Mhint_S2_190919_S2_Wang_116 他 對 朋 友 一 向 很 守 信 用
Wang_Mhint_S2_190919_S2_Wang_117 庭 院 裡 種 了 一 些 向 日 葵
Wang_Mhint_S2_190919_S2_Wang_118 夏 天 牆 上 爬 滿 了 牽 牛 花
Wang_Mhint_S2_190919_S2_Wang_119 我 在 口 袋 裡 找 出 三 十 元
Wang_Mhint_S2_190919_S2_Wang_12 我 每 天 早 上 都 要 喝 杯 茶
Wang_Mhint_S2_190919_S2_Wang_120 誰 都 喜 歡 和 她 一 起 工 作
Wang_Mhint_S2_190919_S2_Wang_121 他 今 天 穿 了 一 件 緊 身 衣
Wang_Mhint_S2_190919_S2_Wang_122 爸 爸 每 天 晚 上 要 看 新 聞
Wang_Mhint_S2_190919_S2_Wang_123 他 染 上 了 吸 煙 的 壞 習 慣
Wang_Mhint_S2_190919_S2_Wang_124 他 辭 職 大 家 覺 得 很 意 外
Wang_Mhint_S2_190919_S2_Wang_125 我 在 桌 子 下 看 到 一 枝 筆
Wang_Mhint_S2_190919_S2_Wang_126 這 個 球 隊 終 於 打 入 決 賽
Wang_Mhint_S2_190919_S2_Wang_127 媽 媽 一 大 早 就 去 上 班 了
Wang_Mhint_S2_190919_S2_Wang_128 爺 爺 經 常 帶 小 妹 出 去 玩
Wang_Mhint_S2_190919_S2_Wang_129 他 們 下 周 五 要 開 家 長 會
Wang_Mhint_S2_190919_S2_Wang_13 他 的 名 片 上 有 很 多 頭 銜
Wang_Mhint_S2_190919_S2_Wang_130 這 件 衣 服 冬 天 穿 很 合 適
